Model,Class_ID,Class_Name,Precision,Recall,F1,Support
RandomForest,1,Feline Asthma,0.9856887298747764,0.9927927927927928,0.9892280071813285,555.0
RandomForest,2,Feline Calicivirus,0.9621621621621622,0.960431654676259,0.9612961296129613,556.0
RandomForest,3,Feline Chlamydiosis,0.7523105360443623,0.7320143884892086,0.7420237010027347,556.0
RandomForest,4,Feline Herpesvirus,0.7547495682210709,0.7859712230215827,0.7700440528634361,556.0
RandomForest,5,Feline Immunodeficiency Virus,0.907103825136612,0.89568345323741,0.9013574660633484,556.0
RandomForest,6,Feline Infectious Peritonitis,0.8595194085027726,0.8363309352517986,0.8477666362807658,556.0
RandomForest,7,Feline Leukemia Virus,0.8,0.7985611510791367,0.7992799279927992,556.0
RandomForest,8,Feline Panleukopenia,0.9699115044247788,0.9856115107913669,0.9776984834968778,556.0
RandomForest,9,Feline Renal Disease,0.963963963963964,0.963963963963964,0.963963963963964,555.0
RandomForest,10,Fungal Infection,0.940952380952381,0.8900900900900901,0.9148148148148149,555.0
RandomForest,11,Gastroenteritis,0.9484902309058615,0.960431654676259,0.9544235924932976,556.0
RandomForest,12,Hyperthyroidism,1.0,0.9981981981981982,0.9990982867448152,555.0
RandomForest,13,Inflammatory Bowel Disease,0.9334500875656743,0.9586330935251799,0.9458740017746229,556.0
RandomForest,14,Intestinal Parasites,0.9735915492957746,0.9946043165467626,0.9839857651245552,556.0
RandomForest,15,Pancreatitis,0.967032967032967,0.9513513513513514,0.9591280653950953,555.0
RandomForest,16,Ringworm,0.9769094138543517,0.990990990990991,0.9838998211091234,555.0
RandomForest,17,Upper Respiratory Infection,0.9874776386404294,0.9945945945945946,0.9910233393177738,555.0
MLP_XXL,0,Conjunctivitis,0.9609929078014184,0.9765765765765766,0.968722073279714,555.0
MLP_XXL,1,Feline Asthma,0.985663082437276,0.990990990990991,0.9883198562443846,555.0
MLP_XXL,2,Feline Calicivirus,0.9486725663716814,0.9640287769784173,0.9562890276538805,556.0
MLP_XXL,3,Feline Chlamydiosis,0.7718550106609808,0.6510791366906474,0.7063414634146341,556.0
MLP_XXL,4,Feline Herpesvirus,0.7069767441860465,0.8201438848920863,0.7593671940049959,556.0
MLP_XXL,5,Feline Immunodeficiency Virus,0.9520153550863724,0.8920863309352518,0.9210770659238626,556.0
MLP_XXL,6,Feline Infectious Peritonitis,0.8637200736648251,0.8435251798561151,0.8535031847133758,556.0
MLP_XXL,7,Feline Leukemia Virus,0.8047882136279927,0.7859712230215827,0.7952684258416742,556.0
MLP_XXL,8,Feline Panleukopenia,0.9559859154929577,0.9766187050359713,0.9661921708185054,556.0
MLP_XXL,9,Feline Renal Disease,0.9578207381370826,0.9819819819819819,0.9697508896797153,555.0
MLP_XXL,10,Fungal Infection,0.9385474860335196,0.9081081081081082,0.9230769230769231,555.0
MLP_XXL,11,Gastroenteritis,0.9448398576512456,0.9550359712230215,0.9499105545617174,556.0
MLP_XXL,12,Hyperthyroidism,1.0,1.0,1.0,555.0
MLP_XXL,13,Inflammatory Bowel Disease,0.9336823734729494,0.9622302158273381,0.9477413640389726,556.0
